task,bias_unrestricted,bias_bounded,delta_bias_bounded_minus_unrestricted,delta_ci_low,delta_ci_high,absolute_bias_change,absolute_change_ci_low,absolute_change_ci_high
giraffes,0.48,0.2126530612244899,-0.2673469387755101,-0.5293877551020407,-0.0065204081632652235,-0.2673469387755101,-0.5281632653061226,-0.0065204081632652235
zills,0.3400000000000001,0.1546938775510205,-0.1853061224489796,-0.44612244897959186,0.05633673469387772,-0.1853061224489796,-0.40735714285714286,0.05633673469387772
bridge,0.2466666666666666,0.3902040816326531,0.1435374149659865,-0.11688052721088447,0.4047831632653059,0.1435374149659865,-0.11688052721088447,0.39225552721088436
crochet,0.1399999999999999,0.15999999999999992,0.020000000000000018,-0.21999999999999997,0.24,0.020000000000000018,-0.19999999999999996,0.21999999999999997
tbc,0.040000000000000036,0.09632653061224494,0.05632653061224491,-0.16653061224489807,0.2963265306122449,0.05632653061224491,-0.14286734693877542,0.21795918367346934
maiden,0.33999999999999986,0.31387755102040815,-0.026122448979591706,-0.2873469387755101,0.2343061224489792,-0.026122448979591706,-0.2873469387755101,0.2343061224489792
turns,0.029795918367347074,0.37020408163265306,0.340408163265306,0.07673469387755105,0.6040816326530613,0.340408163265306,0.058357142857142906,0.48205102040816344
orangecars,0.17999999999999994,0.32227891156462585,0.1422789115646259,-0.12021343537414943,0.40679634353741495,0.1422789115646259,-0.12021343537414943,0.3880548469387753
windowdays,0.15999999999999992,0.32000000000000006,0.16000000000000014,-0.06000000000000005,0.3999999999999999,0.16000000000000014,-0.06000000000000005,0.3799999999999999
