task,format,condition,expected,observed,cell_complete,valid_estimates,missing_estimates,api_failures,refusals,truncations,ties,bound_violations,bounded_compliant_estimates,reasoning_available,trajectories_judged,trajectories_usable,trajectory_coverage
giraffes,unrestricted,baseline,50,50,True,50,0,0,0,0,6,0,0,50,9,9,0.18
giraffes,unrestricted,above_good,50,50,True,50,0,0,0,0,3,0,0,50,0,0,0.0
giraffes,unrestricted,below_good,50,50,True,50,0,0,0,0,8,0,0,50,1,1,0.02
giraffes,bounded,baseline,50,50,True,50,0,0,0,0,8,0,50,50,0,0,0.0
giraffes,bounded,above_good,50,50,True,49,1,0,0,0,2,0,49,50,0,0,0.0
giraffes,bounded,below_good,50,50,True,50,0,0,0,0,6,0,50,50,0,0,0.0
zills,unrestricted,baseline,50,50,True,50,0,0,0,0,3,0,0,50,7,7,0.14
zills,unrestricted,above_good,50,50,True,50,0,0,0,0,4,0,0,50,0,0,0.0
zills,unrestricted,below_good,50,50,True,50,0,0,0,0,3,0,0,50,2,2,0.04
zills,bounded,baseline,50,50,True,50,0,0,0,0,17,0,50,50,0,0,0.0
zills,bounded,above_good,50,50,True,50,0,0,0,0,11,0,50,50,0,0,0.0
zills,bounded,below_good,50,50,True,49,1,0,0,0,9,0,49,50,0,0,0.0
bridge,unrestricted,baseline,50,50,True,50,0,0,0,0,0,0,0,50,4,4,0.08
bridge,unrestricted,above_good,50,50,True,50,0,0,0,0,1,0,0,50,0,0,0.0
bridge,unrestricted,below_good,50,50,True,48,2,0,0,0,0,0,0,50,1,1,0.02
bridge,bounded,baseline,50,50,True,50,0,0,0,0,6,0,50,50,0,0,0.0
bridge,bounded,above_good,50,50,True,49,1,0,0,0,4,0,49,50,0,0,0.0
bridge,bounded,below_good,50,50,True,50,0,0,0,0,5,0,50,50,0,0,0.0
crochet,unrestricted,baseline,50,50,True,50,0,0,0,0,0,0,0,50,0,0,0.0
crochet,unrestricted,above_good,50,50,True,50,0,0,0,0,0,0,0,50,0,0,0.0
crochet,unrestricted,below_good,50,50,True,50,0,0,0,0,0,0,0,50,2,2,0.04
crochet,bounded,baseline,50,50,True,49,1,0,0,0,6,0,49,50,0,0,0.0
crochet,bounded,above_good,50,50,True,50,0,0,0,0,6,0,50,50,0,0,0.0
crochet,bounded,below_good,50,50,True,50,0,0,0,0,5,0,50,50,0,0,0.0
tbc,unrestricted,baseline,50,50,True,50,0,0,0,0,0,0,0,50,0,0,0.0
tbc,unrestricted,above_good,50,50,True,50,0,0,0,0,11,0,0,50,1,1,0.02
tbc,unrestricted,below_good,50,50,True,50,0,0,0,0,6,0,0,50,0,0,0.0
tbc,bounded,baseline,50,50,True,50,0,0,0,0,9,0,50,50,1,1,0.02
tbc,bounded,above_good,50,50,True,50,0,0,0,0,15,0,50,50,0,0,0.0
tbc,bounded,below_good,50,50,True,49,1,0,0,0,3,0,49,50,0,0,0.0
maiden,unrestricted,baseline,50,50,True,50,0,0,0,0,0,0,0,50,0,0,0.0
maiden,unrestricted,above_good,50,50,True,50,0,0,0,0,2,0,0,50,0,0,0.0
maiden,unrestricted,below_good,50,50,True,50,0,0,0,0,2,0,0,50,1,1,0.02
maiden,bounded,baseline,50,50,True,50,0,0,0,0,1,0,50,50,3,3,0.06
maiden,bounded,above_good,50,50,True,50,0,0,0,0,1,0,50,50,0,0,0.0
maiden,bounded,below_good,50,50,True,49,1,0,0,0,0,0,49,50,0,0,0.0
turns,unrestricted,baseline,50,50,True,50,0,0,0,0,0,0,0,50,0,0,0.0
turns,unrestricted,above_good,50,50,True,49,1,0,0,0,0,0,0,50,0,0,0.0
turns,unrestricted,below_good,50,50,True,50,0,0,0,0,1,0,0,50,0,0,0.0
turns,bounded,baseline,50,50,True,48,2,0,0,1,8,0,48,50,0,0,0.0
turns,bounded,above_good,50,50,True,49,1,0,0,0,4,0,49,50,3,3,0.06
turns,bounded,below_good,50,50,True,50,0,0,0,0,7,1,49,50,0,0,0.0
orangecars,unrestricted,baseline,50,50,True,50,0,0,0,0,0,0,0,50,0,0,0.0
orangecars,unrestricted,above_good,50,50,True,50,0,0,0,0,0,0,0,50,0,0,0.0
orangecars,unrestricted,below_good,50,50,True,50,0,0,0,0,0,0,0,50,0,0,0.0
orangecars,bounded,baseline,50,50,True,50,0,0,0,0,2,0,50,50,2,2,0.04
orangecars,bounded,above_good,50,50,True,49,1,0,0,0,2,0,49,50,0,0,0.0
orangecars,bounded,below_good,50,50,True,48,2,0,0,0,1,0,48,50,0,0,0.0
windowdays,unrestricted,baseline,50,50,True,50,0,0,0,0,0,0,0,50,0,0,0.0
windowdays,unrestricted,above_good,50,50,True,50,0,0,0,0,5,0,0,50,2,2,0.04
windowdays,unrestricted,below_good,50,50,True,50,0,0,0,0,1,0,0,50,1,1,0.02
windowdays,bounded,baseline,50,50,True,42,8,0,0,8,10,0,42,50,0,0,0.0
windowdays,bounded,above_good,50,50,True,50,0,0,0,0,12,0,50,50,0,0,0.0
windowdays,bounded,below_good,50,50,True,50,0,0,0,0,11,0,50,50,0,0,0.0
