task,format,threshold,n_above,n_below,p_above,p_below,p_good,bias,ci_low,ci_high,undefined_reason
giraffes,unrestricted,19597500.0,9,10,0.4444444444444444,0.8,0.6222222222222222,0.24444444444444446,-0.1777777777777778,0.6666666666666665,
giraffes,bounded,19597500.0,10,10,0.5,0.6,0.55,0.10000000000000009,-0.30000000000000004,0.5,
