format,condition,curve_type,task,estimate_position,median,q25,q75,band_label
unrestricted,baseline,task_median,giraffes,0.062062062062062065,0.1678345011678345,,,
unrestricted,baseline,task_median,giraffes,0.06306306306306306,0.16662174995508328,,,
unrestricted,baseline,task_median,giraffes,0.06406406406406406,0.1665418980233795,,,
unrestricted,baseline,task_median,giraffes,0.06506506506506507,0.16646204609167572,,,
unrestricted,baseline,task_median,giraffes,0.06606606606606606,0.16638219415997194,,,
unrestricted,baseline,task_median,giraffes,0.06706706706706707,0.16630234222826815,,,
unrestricted,baseline,task_median,giraffes,0.06806806806806806,0.16622249029656436,,,
unrestricted,baseline,task_median,giraffes,0.06906906906906907,0.16614263836486057,,,
unrestricted,baseline,task_median,giraffes,0.07007007007007007,0.1660627864331568,,,
unrestricted,baseline,task_median,giraffes,0.07107107107107107,0.16598293450145302,,,
unrestricted,baseline,task_median,giraffes,0.07207207207207207,0.16590308256974923,,,
unrestricted,baseline,task_median,giraffes,0.07307307307307308,0.16582323063804544,,,
unrestricted,baseline,task_median,giraffes,0.07407407407407407,0.16574337870634165,,,
unrestricted,baseline,task_median,giraffes,0.07507507507507508,0.1656635267746379,,,
unrestricted,baseline,task_median,giraffes,0.07607607607607608,0.1655836748429341,,,
unrestricted,baseline,task_median,giraffes,0.07707707707707707,0.1655038229112303,,,
unrestricted,baseline,task_median,giraffes,0.07807807807807808,0.16542397097952652,,,
unrestricted,baseline,task_median,giraffes,0.07907907907907907,0.16534411904782273,,,
unrestricted,baseline,task_median,giraffes,0.08008008008008008,0.16526426711611897,,,
unrestricted,baseline,task_median,giraffes,0.08108108108108109,0.16518441518441518,,,
unrestricted,baseline,task_median,giraffes,0.08208208208208208,0.1651045632527114,,,
unrestricted,baseline,task_median,giraffes,0.08308308308308308,0.1650247113210076,,,
unrestricted,baseline,task_median,giraffes,0.08408408408408408,0.16494485938930384,,,
unrestricted,baseline,task_median,giraffes,0.08508508508508508,0.16486500745760005,,,
unrestricted,baseline,task_median,giraffes,0.08608608608608609,0.16478515552589626,,,
unrestricted,baseline,task_median,giraffes,0.08708708708708708,0.16470530359419247,,,
unrestricted,baseline,task_median,giraffes,0.08808808808808809,0.16462545166248868,,,
unrestricted,baseline,task_median,giraffes,0.0890890890890891,0.16454559973078492,,,
unrestricted,baseline,task_median,giraffes,0.09009009009009009,0.16446574779908113,,,
unrestricted,baseline,task_median,giraffes,0.09109109109109109,0.16438589586737734,,,
unrestricted,baseline,task_median,giraffes,0.0920920920920921,0.16430604393567355,,,
unrestricted,baseline,task_median,giraffes,0.09309309309309309,0.16422619200396976,,,
unrestricted,baseline,task_median,giraffes,0.0940940940940941,0.164146340072266,,,
unrestricted,baseline,task_median,giraffes,0.09509509509509509,0.1640664881405622,,,
unrestricted,baseline,task_median,giraffes,0.0960960960960961,0.16398663620885842,,,
unrestricted,baseline,task_median,giraffes,0.0970970970970971,0.16390678427715463,,,
unrestricted,baseline,task_median,giraffes,0.0980980980980981,0.16382693234545084,,,
unrestricted,baseline,task_median,giraffes,0.0990990990990991,0.16374708041374708,,,
unrestricted,baseline,task_median,giraffes,0.10010010010010009,0.1636672284820433,,,
unrestricted,baseline,task_median,giraffes,0.1011011011011011,0.1635873765503395,,,
unrestricted,baseline,task_median,giraffes,0.1021021021021021,0.1635075246186357,,,
unrestricted,baseline,task_median,giraffes,0.1031031031031031,0.16342767268693192,,,
unrestricted,baseline,task_median,giraffes,0.1041041041041041,0.16334782075522816,,,
unrestricted,baseline,task_median,giraffes,0.10510510510510511,0.16326796882352437,,,
unrestricted,baseline,task_median,giraffes,0.1061061061061061,0.16318811689182058,,,
unrestricted,baseline,task_median,giraffes,0.10710710710710711,0.1631082649601168,,,
unrestricted,baseline,task_median,giraffes,0.10810810810810811,0.163028413028413,,,
