format,condition,curve_type,task,estimate_position,median,q25,q75,band_label
unrestricted,baseline,task_median,giraffes,0.07307307307307308,-0.016956744983278982,,,
unrestricted,baseline,task_median,giraffes,0.07407407407407407,-0.016928652086197694,,,
unrestricted,baseline,task_median,giraffes,0.07507507507507508,-0.016900559189116406,,,
unrestricted,baseline,task_median,giraffes,0.07607607607607608,-0.016872466292035117,,,
unrestricted,baseline,task_median,giraffes,0.07707707707707707,-0.016844373394953826,,,
unrestricted,baseline,task_median,giraffes,0.07807807807807808,-0.016816280497872538,,,
unrestricted,baseline,task_median,giraffes,0.07907907907907907,-0.01678818760079125,,,
unrestricted,baseline,task_median,giraffes,0.08008008008008008,-0.01676009470370996,,,
unrestricted,baseline,task_median,giraffes,0.08108108108108109,-0.016732001806628673,,,
unrestricted,baseline,task_median,giraffes,0.08208208208208208,-0.016703908909547382,,,
unrestricted,baseline,task_median,giraffes,0.08308308308308308,-0.016675816012466094,,,
unrestricted,baseline,task_median,giraffes,0.08408408408408408,-0.016647723115384806,,,
unrestricted,baseline,task_median,giraffes,0.08508508508508508,-0.016619630218303517,,,
unrestricted,baseline,task_median,giraffes,0.08608608608608609,-0.01659153732122223,,,
unrestricted,baseline,task_median,giraffes,0.08708708708708708,-0.016563444424140945,,,
unrestricted,baseline,task_median,giraffes,0.08808808808808809,-0.01653535152705965,,,
unrestricted,baseline,task_median,giraffes,0.0890890890890891,-0.01650725862997836,,,
unrestricted,baseline,task_median,giraffes,0.09009009009009009,-0.01647916573289708,,,
unrestricted,baseline,task_median,giraffes,0.09109109109109109,-0.016451072835815792,,,
unrestricted,baseline,task_median,giraffes,0.0920920920920921,-0.016422979938734497,,,
unrestricted,baseline,task_median,giraffes,0.09309309309309309,-0.016394887041653212,,,
unrestricted,baseline,task_median,giraffes,0.0940940940940941,-0.016366794144571924,,,
unrestricted,baseline,task_median,giraffes,0.09509509509509509,-0.016338701247490636,,,
unrestricted,baseline,task_median,giraffes,0.0960960960960961,-0.016310608350409348,,,
unrestricted,baseline,task_median,giraffes,0.0970970970970971,-0.01628251545332806,,,
unrestricted,baseline,task_median,giraffes,0.0980980980980981,-0.01625442255624677,,,
unrestricted,baseline,task_median,giraffes,0.0990990990990991,-0.01622632965916548,,,
unrestricted,baseline,task_median,giraffes,0.10010010010010009,-0.016198236762084192,,,
unrestricted,baseline,task_median,giraffes,0.1011011011011011,-0.016170143865002904,,,
unrestricted,baseline,task_median,giraffes,0.1021021021021021,-0.016142050967921616,,,
unrestricted,baseline,task_median,giraffes,0.1031031031031031,-0.016113958070840328,,,
unrestricted,baseline,task_median,giraffes,0.1041041041041041,-0.01608586517375904,,,
unrestricted,baseline,task_median,giraffes,0.10510510510510511,-0.01605777227667775,,,
unrestricted,baseline,task_median,giraffes,0.1061061061061061,-0.01602967937959646,,,
unrestricted,baseline,task_median,giraffes,0.10710710710710711,-0.016001586482515172,,,
unrestricted,baseline,task_median,giraffes,0.10810810810810811,-0.015973493585433884,,,
unrestricted,baseline,task_median,giraffes,0.1091091091091091,-0.015945400688352596,,,
unrestricted,baseline,task_median,giraffes,0.11011011011011011,-0.015917307791271307,,,
unrestricted,baseline,task_median,giraffes,0.1111111111111111,-0.015889214894190016,,,
unrestricted,baseline,task_median,giraffes,0.11211211211211211,-0.015861121997108728,,,
unrestricted,baseline,task_median,giraffes,0.11311311311311312,-0.01583302910002744,,,
unrestricted,baseline,task_median,giraffes,0.11411411411411411,-0.01580493620294616,,,
unrestricted,baseline,task_median,giraffes,0.11511511511511512,-0.015776843305864863,,,
unrestricted,baseline,task_median,giraffes,0.11611611611611611,-0.01574875040878358,,,
unrestricted,baseline,task_median,giraffes,0.11711711711711711,-0.01572065751170229,,,
unrestricted,baseline,task_median,giraffes,0.11811811811811812,-0.015692564614621003,,,
unrestricted,baseline,task_median,giraffes,0.11911911911911911,-0.015664471717539714,,,
unrestricted,baseline,task_median,giraffes,0.12012012012012012,-0.015636378820458426,,,
unrestricted,baseline,task_median,giraffes,0.12112112112112113,-0.015608285923377138,,,
unrestricted,baseline,task_median,giraffes,0.12212212212212212,-0.015580193026295847,,,
unrestricted,baseline,task_median,giraffes,0.12312312312312312,-0.015552100129214558,,,
unrestricted,baseline,task_median,giraffes,0.12412412412412413,-0.01552400723213327,,,
unrestricted,baseline,task_median,giraffes,0.12512512512512514,-0.015495914335051982,,,
unrestricted,baseline,task_median,giraffes,0.12612612612612611,-0.01546782143797069,,,
unrestricted,baseline,task_median,giraffes,0.12712712712712712,-0.015439728540889402,,,
unrestricted,baseline,task_median,giraffes,0.12812812812812813,-0.015411635643808114,,,
unrestricted,baseline,task_median,giraffes,0.12912912912912913,-0.015383542746726826,,,
unrestricted,baseline,task_median,giraffes,0.13013013013013014,-0.015355449849645538,,,
unrestricted,baseline,task_median,giraffes,0.13113113113113112,-0.015327356952564247,,,
unrestricted,baseline,task_median,giraffes,0.13213213213213212,-0.015299264055482958,,,
unrestricted,baseline,task_median,giraffes,0.13313313313313313,-0.01527117115840167,,,
unrestricted,baseline,task_median,giraffes,0.13413413413413414,-0.015243078261320382,,,
unrestricted,baseline,task_median,giraffes,0.13513513513513514,-0.015214985364239094,,,
unrestricted,baseline,task_median,giraffes,0.13613613613613612,-0.01518689246715781,,,
unrestricted,baseline,task_median,giraffes,0.13713713713713713,-0.015158799570076521,,,
unrestricted,baseline,task_median,giraffes,0.13813813813813813,-0.015130706672995226,,,
unrestricted,baseline,task_median,giraffes,0.13913913913913914,-0.015102613775913938,,,
unrestricted,baseline,task_median,giraffes,0.14014014014014015,-0.01507452087883265,,,
unrestricted,baseline,task_median,giraffes,0.14114114114114115,-0.015046427981751365,,,
unrestricted,baseline,task_median,giraffes,0.14214214214214213,-0.015018335084670077,,,
unrestricted,baseline,task_median,giraffes,0.14314314314314314,-0.014990242187588786,,,
unrestricted,baseline,task_median,giraffes,0.14414414414414414,-0.014962149290507498,,,
unrestricted,baseline,task_median,giraffes,0.14514514514514515,-0.01493405639342621,,,
unrestricted,baseline,task_median,giraffes,0.14614614614614616,-0.014905963496344923,,,
unrestricted,baseline,task_median,giraffes,0.14714714714714713,-0.014877870599263635,,,
unrestricted,baseline,task_median,giraffes,0.14814814814814814,-0.014849777702182347,,,
unrestricted,baseline,task_median,giraffes,0.14914914914914915,-0.014821684805101059,,,
unrestricted,baseline,task_median,giraffes,0.15015015015015015,-0.01479359190801977,,,
