task,bias_unrestricted,bias_bounded,delta_bias_bounded_minus_unrestricted,delta_ci_low,delta_ci_high,absolute_bias_change,absolute_change_ci_low,absolute_change_ci_high
giraffes,0.4742857142857142,0.2126530612244899,-0.2616326530612243,-0.5244897959183672,0.001642857142857107,-0.2616326530612243,-0.5036836734693878,0.001642857142857107
zills,0.33666666666666667,0.1546938775510205,-0.18197278911564618,-0.4260986394557825,0.06137372448979577,-0.18197278911564618,-0.4036322278911565,0.06137372448979577
bridge,0.22583333333333333,0.3902040816326531,0.16437074829931975,-0.09889923469387764,0.4276964285714283,0.16437074829931975,-0.09889923469387764,0.41103061224489773
crochet,0.1367346938775511,0.14000000000000012,0.0032653061224490187,-0.2183775510204081,0.24245918367346936,0.0032653061224490187,-0.21632653061224483,0.2142857142857143
tbc,0.04978723404255314,0.09632653061224494,0.0465392965696918,-0.17729049066435076,0.27687342596612985,0.0465392965696918,-0.13812852800694742,0.20898827616152849
maiden,0.3542857142857143,0.31999999999999984,-0.034285714285714475,-0.2963367346938777,0.22735714285714265,-0.034285714285714475,-0.2963367346938777,0.22735714285714265
turns,0.020000000000000018,0.330204081632653,0.310204081632653,0.02856122448979584,0.5710306122448977,0.310204081632653,0.02691836734693869,0.4526530612244897
orangecars,0.17142857142857126,0.31166666666666654,0.14023809523809527,-0.1051369047619046,0.40312244897959176,0.14023809523809527,-0.1051369047619046,0.3835038265306121
windowdays,0.15999999999999992,0.32000000000000006,0.16000000000000014,-0.06000000000000005,0.3999999999999999,0.16000000000000014,-0.06000000000000005,0.3799999999999999
